"编号","开始答题时间","结束答题时间","答题时长","1.这一周的课上，你听老师讲得怎么样？","2.什么样的老师做法最能让你专心？","3.什么情况最容易让你分心？","4.什么会让你变得认真？","5.老师听完同学回答后，会怎样？","6.老师听完同学回答后，这会让你怎样？","7.老师提醒你专心时，你最喜欢哪种方式？","8.老师说哪种话最能让你精神变好？","9.你觉得这门课的课堂更像下面哪一种？","10.什么时候你最容易专心？","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"39","09-Dec-2025 15:36:11","09-Dec-2025 15:36:31","20","A.很认真，一直在听","C.老师讲得生动、有趣","B.老师讲得太慢","C.有比赛、积分、奖励","C.再问问题或让别人补充","B.没什么影响","C.老师问我旁边同学的问题","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"38","09-Dec-2025 15:35:51","09-Dec-2025 15:36:07","16","C.一半一半","E.和同学一起动手、分组活动","A.老师一直读PPT/书，不互动","C.有比赛、积分、奖励","C.再问问题或让别人补充","B.没什么影响","E.老师下课后轻轻告诉我","B.让我动脑的问题","C.轻松有趣，有笑声","B.老师讲重要新知识时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"37","09-Dec-2025 15:35:31","09-Dec-2025 15:35:47","16","A.很认真，一直在听","C.老师讲得生动、有趣","C.老师讲得太快","A.觉得内容有趣","B.表扬一下，再继续讲","A.更认真","B.老师走到我桌边轻轻提醒","A.夸我、鼓励我的话","A.大家爱发言、爱讨论","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"36","09-Dec-2025 15:35:11","09-Dec-2025 15:35:28","17","A.很认真，一直在听","","","","B.表扬一下，再继续讲","A.更认真","B.老师走到我桌边轻轻提醒","","","","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"35","09-Dec-2025 15:34:49","09-Dec-2025 15:35:07","18","B.比较认真，偶尔走神","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","C.有比赛、积分、奖励","C.再问问题或让别人补充","A.更认真","E.老师下课后轻轻告诉我","A.夸我、鼓励我的话","B.大家安静听老师讲","E.老师总结时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"34","09-Dec-2025 15:34:28","09-Dec-2025 15:34:46","18","B.比较认真，偶尔走神","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","C.有比赛、积分、奖励","C.再问问题或让别人补充","A.更认真","C.老师问我旁边同学的问题","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","E.老师总结时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"33","09-Dec-2025 15:34:02","09-Dec-2025 15:34:24","22","A.很认真，一直在听","C.老师讲得生动、有趣","D.课堂太安静、有点闷","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","E.老师下课后轻轻告诉我","C.有趣、好玩的笑话或比喻","B.大家安静听老师讲","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"32","09-Dec-2025 15:33:38","09-Dec-2025 15:33:57","19","A.很认真，一直在听","C.老师讲得生动、有趣","E.老师说话很严厉","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","A.老师用声音提醒","C.有趣、好玩的笑话或比喻","C.轻松有趣，有笑声","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"31","09-Dec-2025 15:33:16","09-Dec-2025 15:33:34","18","A.很认真，一直在听","E.和同学一起动手、分组活动","A.老师一直读PPT/书，不互动","D.有任务要完成","C.再问问题或让别人补充","A.更认真","B.老师走到我桌边轻轻提醒","C.有趣、好玩的笑话或比喻","A.大家爱发言、爱讨论","E.老师总结时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
"30","09-Dec-2025 15:32:57","09-Dec-2025 15:33:12","15","B.比较认真，偶尔走神","C.老师讲得生动、有趣","A.老师一直读PPT/书，不互动","A.觉得内容有趣","C.再问问题或让别人补充","A.更认真","B.老师走到我桌边轻轻提醒","A.夸我、鼓励我的话","C.轻松有趣，有笑声","C.小组讨论、合作时","简体中文","未清洗","","中国","广东省","深圳市","","116.7.234.241","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0","",
